Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
5550,18,22,3,4,4,Hit Stick,9 18,Win
5551,13,20,2,3,2,Stick,13,Loss
5552,17,20,2,3,2,Stick,17,Loss
5553,22,8,3,2,2,Hit,12,Loss
5554,18,20,2,3,5,Stick,18,Loss
5555,14,21,2,3,9,Stick,14,Loss
5556,19,19,3,2,10,Hit Stick,9 19,Draw
5557,19,17,3,2,8,Hit Stick,14 19,Win
5558,22,20,3,2,10,Hit,12,Loss
5559,21,21,2,3,5,Stick,21,Draw
5560,15,22,2,4,6,Stick,15,Win
5561,25,21,4,2,1,Hit Hit,13 18,Loss
5562,18,23,4,5,3,Hit Hit Stick,7 10 18,Win
5563,13,22,2,3,3,Stick,13,Win
5564,13,24,2,4,3,Stick,13,Win
5565,19,19,2,2,10,Stick,19,Draw
5566,22,18,3,2,10,Hit,12,Loss
5567,19,20,4,3,3,Hit Hit Stick,10 14 19,Loss
5568,12,24,2,3,4,Stick,12,Win
5569,18,17,2,2,7,Stick,18,Win
5570,21,17,3,2,10,Hit Stick,13 21,Win
5571,22,9,3,2,7,Hit,12,Loss
5572,21,23,2,3,6,Stick,21,Win
5573,23,20,3,2,10,Hit,13,Loss
5574,13,23,2,3,10,Stick,13,Win
5575,21,21,4,2,1,Hit Hit Stick,9 11 21,Draw
5576,19,23,2,3,9,Stick,19,Win
5577,13,18,2,3,4,Stick,13,Loss
5578,17,19,3,3,5,Hit Stick,7 17,Loss
5579,19,19,2,3,2,Stick,19,Draw
5580,12,17,3,3,10,Hit Stick,11 12,Loss
5581,19,22,2,3,10,Stick,19,Win
5582,14,23,2,5,1,Stick,14,Win
5583,23,9,3,2,4,Hit,14,Loss
5584,21,17,3,2,7,Hit Stick,11 21,Win
5585,25,17,3,2,10,Hit,15,Loss
5586,22,19,4,2,9,Hit Hit,17 12,Loss
5587,21,23,2,3,6,Stick,21,Win
5588,12,25,3,4,10,Hit Stick,13 12,Win
5589,15,23,2,3,10,Stick,15,Win
5590,17,23,3,3,9,Hit Stick,8 17,Win
5591,16,20,2,3,8,Stick,16,Loss
5592,19,22,3,3,10,Hit Stick,9 19,Win
5593,21,17,3,3,3,Hit Stick,15 21,Win
5594,18,18,3,2,9,Hit Stick,12 18,Draw
5595,21,26,2,5,2,Stick,21,Win
5596,27,20,5,2,10,Hit Hit Hit,19 14 19,Loss
5597,23,20,4,2,10,Hit Hit,14 16,Loss
5598,16,19,2,3,4,Stick,16,Loss
5599,20,17,2,3,7,Stick,20,Win
5600,18,23,3,3,4,Hit Stick,8 18,Win
5601,20,22,3,4,3,Hit Stick,10 20,Win
5602,21,20,2,2,10,Stick,21,Win
5603,17,18,4,4,6,Hit Hit Stick,16 13 17,Loss
5604,17,17,2,2,8,Stick,17,Draw
5605,18,26,2,4,4,Stick,18,Win
5606,20,17,2,3,3,Stick,20,Win
5607,18,20,2,3,6,Stick,18,Loss
5608,19,21,3,3,8,Hit Stick,9 19,Loss
5609,16,23,5,3,10,Hit Hit Hit Stick,12 13 17 16,Win
5610,15,18,2,3,6,Stick,15,Loss
5611,22,17,3,2,7,Hit,15,Loss
5612,27,20,5,2,10,Hit Hit Hit,8 10 17,Loss
5613,21,19,3,3,2,Hit Stick,12 21,Win
5614,12,26,2,3,10,Stick,12,Win
5615,19,17,4,2,7,Hit Hit Stick,14 17 19,Win
5616,20,17,3,2,10,Hit Stick,15 20,Win
5617,20,21,3,5,2,Hit Stick,11 20,Loss
5618,20,18,2,2,8,Stick,20,Win
5619,20,19,5,3,5,Hit Hit Hit Stick,10 14 15 20,Win
5620,13,18,2,3,5,Stick,13,Loss
5621,18,17,2,2,10,Stick,18,Win
5622,14,24,2,3,5,Stick,14,Win
5623,13,22,2,3,6,Stick,13,Win
5624,20,21,4,2,10,Hit Hit Stick,13 16 20,Loss
